date,primary_type,arrest,domestic,district,year,latitude,longitude
2020-01-13 06:15:00 UTC,ASSAULT,false,false,18,2020,41.894993403,-87.622148996
2024-07-19 09:00:00 UTC,THEFT,false,false,1,2024,41.884521087,-87.622099893
2024-08-01 21:50:00 UTC,ASSAULT,false,false,16,2024,41.997335423,-87.790321242
2022-11-10 17:00:00 UTC,CRIMINAL DAMAGE,false,false,1,2022,41.885182294,-87.642757034
2023-11-01 18:00:00 UTC,THEFT,false,false,8,2023,41.778092941,-87.722746539
2022-11-18 13:35:00 UTC,CRIMINAL TRESPASS,false,false,4,2022,41.730956462,-87.549887474
2024-01-04 12:45:00 UTC,MOTOR VEHICLE THEFT,false,false,7,2024,41.76625786,-87.663828061
2024-10-08 10:00:00 UTC,DECEPTIVE PRACTICE,false,false,25,2024,41.904885632,-87.768178905
2025-05-13 15:30:00 UTC,THEFT,false,false,10,2025,41.8634377,-87.723873589
2022-09-27 20:45:00 UTC,ROBBERY,false,false,22,2022,41.707976954,-87.659144771
2020-06-25 08:00:00 UTC,CRIMINAL TRESPASS,false,false,20,2020,41.986945147,-87.660619547
2022-11-18 14:47:00 UTC,THEFT,false,false,11,2022,41.871986073,-87.694588249
2021-01-17 09:15:00 UTC,BATTERY,false,true,20,2021,41.985616257,-87.695594347
2021-05-29 19:45:00 UTC,ASSAULT,false,true,15,2021,41.884756562,-87.757673427
2020-11-21 04:00:00 UTC,BATTERY,false,true,17,2020,41.961239841,-87.700117215
2024-11-15 11:48:00 UTC,BATTERY,false,true,8,2024,41.771733351,-87.698751179
2025-06-17 08:00:00 UTC,BATTERY,true,true,9,2025,41.809836197,-87.667438711
2023-06-12 10:10:00 UTC,BURGLARY,false,false,8,2023,41.767271702,-87.723692259
2023-07-29 11:30:00 UTC,ASSAULT,false,false,5,2023,41.656413759,-87.609535041
2023-06-22 19:30:00 UTC,THEFT,false,false,8,2023,41.785551706,-87.700891949
2020-01-13 19:00:00 UTC,BATTERY,false,true,5,2020,41.684107634,-87.651848845
2024-12-02 22:00:00 UTC,CRIMINAL DAMAGE,false,false,8,2024,41.755029186,-87.72573223
2020-10-11 19:00:00 UTC,OFFENSE INVOLVING CHILDREN,false,false,25,2020,41.906765676,-87.732550205
2023-12-07 00:07:00 UTC,ASSAULT,false,false,6,2023,41.750186137,-87.622972724
2021-01-25 12:30:00 UTC,CRIMINAL DAMAGE,false,false,10,2021,41.854739667,-87.707775978
2020-08-07 15:22:00 UTC,ASSAULT,false,false,6,2020,41.745072774,-87.617990568
2020-07-29 06:00:00 UTC,BURGLARY,false,true,8,2020,41.774681227,-87.682166139
2020-09-10 16:49:00 UTC,BATTERY,false,true,3,2020,41.768191186,-87.62336797
2023-02-09 15:00:00 UTC,DECEPTIVE PRACTICE,false,false,5,2023,41.673367331,-87.657602692
2025-02-16 12:29:00 UTC,THEFT,false,false,17,2025,41.939262335,-87.71335694
2021-03-13 23:30:00 UTC,BATTERY,false,false,16,2021,41.974598685,-87.755265371
2022-11-05 12:00:00 UTC,MOTOR VEHICLE THEFT,false,false,11,2022,41.892794899,-87.708914316
2024-02-07 19:07:00 UTC,BATTERY,false,true,24,2024,42.017941972,-87.682247898
2022-07-20 19:00:00 UTC,BATTERY,false,true,25,2022,41.915746919,-87.735056247
2023-04-12 00:15:00 UTC,THEFT,false,false,12,2023,41.864931246,-87.661514673
2024-08-12 21:00:00 UTC,ASSAULT,false,false,17,2024,41.956716433,-87.704437752
2025-07-30 13:00:00 UTC,CRIMINAL DAMAGE,false,false,19,2025,41.939559429,-87.679355664
2023-09-22 01:58:00 UTC,BURGLARY,false,false,19,2023,41.942638739,-87.640115756
2022-10-16 15:00:00 UTC,MOTOR VEHICLE THEFT,false,false,14,2022,41.906386907,-87.715471511
2022-03-24 09:00:00 UTC,OTHER OFFENSE,false,false,11,2022,41.885338686,-87.738887565
2023-05-31 07:55:00 UTC,CRIMINAL TRESPASS,false,false,12,2023,41.903304304,-87.670064675
2023-03-31 17:40:00 UTC,DECEPTIVE PRACTICE,false,false,18,2023,41.903890971,-87.632089801
2024-03-13 18:00:00 UTC,CRIMINAL DAMAGE,false,false,4,2024,41.665814864,-87.558853882
2020-07-18 14:08:00 UTC,ASSAULT,false,false,8,2020,41.76440921,-87.700813715
2020-03-25 03:30:00 UTC,OTHER OFFENSE,false,true,8,2020,41.801485056,-87.716029193
2025-11-21 19:06:00 UTC,THEFT,false,false,14,2025,41.905529073,-87.667554656
2024-12-29 07:14:00 UTC,MOTOR VEHICLE THEFT,false,false,4,2024,41.743970443,-87.585797123
2025-04-13 15:15:00 UTC,OTHER OFFENSE,true,false,6,2025,41.737202557,-87.614545881
2023-12-14 04:27:00 UTC,ROBBERY,false,false,12,2023,41.855254288,-87.652538394
2024-07-21 18:10:00 UTC,NARCOTICS,true,false,4,2024,41.758174759,-87.549934016
2021-03-25 20:01:00 UTC,MOTOR VEHICLE THEFT,false,false,14,2021,41.905805385,-87.662691661
2023-02-11 16:04:00 UTC,BATTERY,true,true,4,2023,41.74771987,-87.596956093
2024-09-07 21:01:00 UTC,THEFT,false,false,9,2024,41.808645557,-87.661846328
2025-04-27 14:00:00 UTC,DECEPTIVE PRACTICE,false,false,20,2025,41.97288286,-87.667978956
2022-07-06 19:00:00 UTC,MOTOR VEHICLE THEFT,false,false,22,2022,41.715792421,-87.633830622
2024-09-28 18:49:00 UTC,ASSAULT,false,true,22,2024,41.733506215,-87.638679745
2022-02-22 17:18:00 UTC,CRIMINAL DAMAGE,false,false,10,2022,41.854623966,-87.711231174
2025-09-14 13:00:00 UTC,OTHER OFFENSE,false,true,25,2025,41.937229861,-87.768882096
2024-04-12 11:30:00 UTC,DECEPTIVE PRACTICE,false,false,2,2024,41.821333315,-87.600071827
2024-07-25 22:30:00 UTC,CRIMINAL DAMAGE,false,true,11,2024,41.876040125,-87.690795242
2023-01-08 00:00:00 UTC,MOTOR VEHICLE THEFT,false,false,19,2023,41.9553359,-87.656158033
2023-01-05 12:00:00 UTC,OTHER OFFENSE,false,false,6,2023,41.74076516,-87.647399112
2025-10-17 13:36:00 UTC,OTHER OFFENSE,false,false,5,2025,41.712026971,-87.624832388
2025-10-12 20:00:00 UTC,THEFT,false,false,18,2025,41.903203253,-87.627340259
2021-11-19 19:00:00 UTC,THEFT,false,false,10,2021,41.861682108,-87.709191415
2020-10-07 12:27:00 UTC,CRIMINAL TRESPASS,true,false,11,2020,41.902365801,-87.716854733
2023-01-01 04:13:00 UTC,OFFENSE INVOLVING CHILDREN,false,true,18,2023,41.88789622,-87.637281436
2023-03-07 18:00:00 UTC,INTIMIDATION,false,false,6,2023,41.736951024,-87.661879218
2022-10-27 08:45:00 UTC,BATTERY,false,true,9,2022,41.803667166,-87.676994658
2024-11-05 08:00:00 UTC,OTHER OFFENSE,false,true,6,2024,41.753683408,-87.652608637
2021-05-21 16:45:00 UTC,BATTERY,false,false,6,2021,41.749318829,-87.613256378
2024-12-26 11:30:00 UTC,BURGLARY,false,false,18,2024,41.904888868,-87.631476426
2020-02-01 23:05:00 UTC,NARCOTICS,true,false,4,2020,41.751408165,-87.556524868
2024-03-06 19:45:00 UTC,THEFT,false,false,17,2024,41.975370278,-87.744023432
2022-04-01 16:35:00 UTC,DECEPTIVE PRACTICE,false,false,25,2022,41.934342838,-87.725845155
2023-03-22 19:56:00 UTC,NARCOTICS,true,false,15,2023,41.890203035,-87.765215951
2023-04-06 18:05:00 UTC,THEFT,false,false,10,2023,41.850126439,-87.691832759
2024-09-23 19:45:00 UTC,CRIMINAL DAMAGE,false,false,2,2024,41.803417249,-87.585796054
2021-12-13 05:30:00 UTC,THEFT,false,false,6,2021,41.735680165,-87.617735748
2025-10-15 08:00:00 UTC,SEX OFFENSE,false,false,4,2025,41.751317167,-87.563800456
2021-07-20 07:15:00 UTC,ROBBERY,false,false,6,2021,41.750223781,-87.619747396
2024-08-07 05:52:00 UTC,INTERFERENCE WITH PUBLIC OFFICER,true,false,16,2024,41.942247162,-87.765162185
2021-06-02 16:40:00 UTC,ASSAULT,false,false,25,2021,41.918001886,-87.722913776
2023-04-25 22:00:00 UTC,OTHER OFFENSE,false,false,10,2023,41.850589764,-87.713744118
2021-04-25 17:32:00 UTC,BATTERY,false,true,14,2021,41.930164786,-87.711243739
2025-06-30 21:37:00 UTC,ROBBERY,false,false,4,2025,41.76015578,-87.556752911
2025-08-05 00:00:00 UTC,THEFT,false,false,19,2025,41.957754638,-87.682441789
2020-12-05 10:55:00 UTC,BATTERY,true,false,7,2020,41.772728408,-87.628864528
2022-06-09 17:50:00 UTC,BATTERY,true,true,6,2022,41.755242422,-87.652650803
2024-12-01 18:29:00 UTC,WEAPONS VIOLATION,true,false,11,2024,41.876141039,-87.728581417
2024-10-18 15:31:00 UTC,OTHER OFFENSE,false,false,1,2024,41.880404956,-87.624356147
2024-08-04 08:15:00 UTC,ASSAULT,true,false,12,2024,41.881570868,-87.659853167
2023-07-05 18:30:00 UTC,THEFT,false,false,17,2023,41.954403064,-87.710478691
2022-04-18 21:30:00 UTC,CRIMINAL DAMAGE,false,false,3,2022,41.761409091,-87.560699994
2023-06-29 19:53:00 UTC,DECEPTIVE PRACTICE,true,false,1,2023,41.885481891,-87.627935689
2020-06-29 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,3,2020,41.774516813,-87.592939605
2024-04-07 13:29:00 UTC,ASSAULT,false,false,12,2024,41.89636798,-87.649203901
2021-04-03 20:08:00 UTC,BATTERY,false,false,3,2021,41.784592108,-87.622204403
2020-11-01 13:00:00 UTC,THEFT,false,false,12,2020,41.890765456,-87.64435696
2021-06-19 21:30:00 UTC,THEFT,false,false,18,2021,41.891637993,-87.630299319
2025-11-01 11:18:00 UTC,BATTERY,false,true,3,2025,41.769417774,-87.569856281
2024-03-04 05:05:00 UTC,THEFT,false,false,1,2024,41.879392098,-87.633264712
2024-11-26 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,19,2024,41.930757273,-87.657311088
2025-08-17 13:40:00 UTC,BATTERY,true,true,6,2025,41.756025905,-87.610198098
2022-07-03 09:00:00 UTC,ASSAULT,false,false,10,2022,41.865490571,-87.708078696
2023-11-05 11:00:00 UTC,ASSAULT,false,false,4,2023,41.736235913,-87.586898052
2024-06-27 14:00:00 UTC,THEFT,false,false,20,2024,41.976775495,-87.692825033
2024-08-18 21:05:00 UTC,DECEPTIVE PRACTICE,false,false,12,2024,41.864271341,-87.660357816
2025-08-15 09:00:00 UTC,MOTOR VEHICLE THEFT,false,true,9,2025,41.810406385,-87.643157281
2021-05-15 18:52:00 UTC,NARCOTICS,true,false,11,2021,41.879805655,-87.722039942
2024-03-06 18:00:00 UTC,THEFT,false,false,12,2024,41.856988055,-87.659883565
2024-04-15 03:15:00 UTC,BATTERY,false,true,9,2024,41.833585241,-87.643737611
2025-07-01 04:05:00 UTC,CRIMINAL SEXUAL ASSAULT,false,true,9,2025,41.842984768,-87.641526461
2020-03-14 02:26:00 UTC,BATTERY,false,true,3,2020,41.765157518,-87.620069455
2025-03-31 09:40:00 UTC,THEFT,false,false,19,2025,41.946724511,-87.691501175
2025-03-03 09:40:00 UTC,CRIMINAL TRESPASS,true,false,1,2025,41.885888079,-87.627942238
2024-04-15 06:40:00 UTC,MOTOR VEHICLE THEFT,false,false,2,2024,41.790716455,-87.615880848
2021-06-23 10:46:00 UTC,BURGLARY,false,false,7,2021,41.780669724,-87.65706763
2021-11-12 12:00:00 UTC,MOTOR VEHICLE THEFT,false,false,7,2021,41.769916749,-87.663954978
2024-12-29 14:55:00 UTC,ROBBERY,false,false,14,2024,41.903048352,-87.685315633
2024-04-29 11:15:00 UTC,THEFT,false,false,18,2024,41.903496586,-87.629974549
2020-08-16 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,3,2020,41.770729563,-87.572755066
2021-04-20 20:30:00 UTC,ASSAULT,false,false,11,2021,41.875778829,-87.701071683
2023-07-07 16:37:00 UTC,BATTERY,false,false,9,2023,41.851316079,-87.631981639
2023-11-12 02:26:00 UTC,OTHER OFFENSE,false,true,8,2023,41.795254825,-87.765365801
2024-09-12 21:00:00 UTC,BATTERY,false,false,6,2024,41.758032284,-87.610245211
2023-10-01 14:14:00 UTC,BATTERY,false,true,16,2023,41.966757099,-87.776074946
2024-07-21 19:47:00 UTC,BATTERY,false,false,19,2024,41.965342725,-87.639851296
2025-09-10 19:22:00 UTC,CRIMINAL DAMAGE,false,false,2,2025,41.809669669,-87.594427666
2020-12-18 15:05:00 UTC,CRIMINAL TRESPASS,false,false,2,2020,41.805200824,-87.608893488
2024-08-20 21:00:00 UTC,THEFT,false,false,19,2024,41.933333772,-87.667114887
2023-11-25 22:25:00 UTC,OFFENSE INVOLVING CHILDREN,false,true,6,2023,41.753491473,-87.655421615
2025-05-30 00:00:00 UTC,BATTERY,false,false,25,2025,41.917275556,-87.717427731
2024-01-07 04:35:00 UTC,BURGLARY,false,false,10,2024,41.847821415,-87.683076561
2020-02-16 21:09:00 UTC,BATTERY,false,true,1,2020,41.871834768,-87.62615082
2022-03-10 06:00:00 UTC,DECEPTIVE PRACTICE,false,false,19,2022,41.933880673,-87.649053068
2024-11-09 18:45:00 UTC,THEFT,false,false,14,2024,41.910302064,-87.68885364
2023-08-01 13:52:00 UTC,ROBBERY,false,false,3,2023,41.768310521,-87.624917247
2021-05-29 17:00:00 UTC,MOTOR VEHICLE THEFT,false,false,6,2021,41.755278377,-87.634413562
2020-10-30 21:50:00 UTC,ASSAULT,true,false,16,2020,41.960903273,-87.770923374
2021-12-29 08:52:00 UTC,BATTERY,true,true,8,2021,41.792763782,-87.76054721
2023-03-23 05:47:00 UTC,THEFT,false,false,24,2023,42.012099666,-87.698424465
2023-03-30 08:00:00 UTC,THEFT,false,false,6,2023,41.747686277,-87.658516925
2024-02-19 10:30:00 UTC,BATTERY,false,true,12,2024,41.893085733,-87.682705794
2022-06-24 12:00:00 UTC,DECEPTIVE PRACTICE,false,true,3,2022,41.781426555,-87.618884578
2021-05-19 15:29:00 UTC,BATTERY,false,true,16,2021,41.952758604,-87.805640126
2020-06-06 16:00:00 UTC,MOTOR VEHICLE THEFT,false,false,18,2020,41.894327846,-87.62814321
2021-09-03 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,8,2021,41.779196307,-87.722776402
2022-01-23 03:00:00 UTC,ASSAULT,false,false,18,2022,41.907056567,-87.634586291
2020-11-02 18:07:00 UTC,BATTERY,false,false,25,2020,41.924902436,-87.766025313
2024-01-13 18:21:00 UTC,BATTERY,false,true,10,2024,41.847432183,-87.718538539
2023-09-05 15:15:00 UTC,THEFT,false,false,14,2023,41.929743818,-87.684273777
2022-12-12 07:30:00 UTC,THEFT,false,false,2,2022,41.790894592,-87.604940233
2020-01-06 12:00:00 UTC,DECEPTIVE PRACTICE,false,false,6,2020,41.728994992,-87.627045546
2025-07-02 12:40:00 UTC,BATTERY,false,true,3,2025,41.781778297,-87.587862346
2023-05-26 03:00:00 UTC,CRIMINAL DAMAGE,false,false,4,2023,41.744262045,-87.581279284
2024-12-16 00:04:00 UTC,ASSAULT,false,false,12,2024,41.87794002,-87.647759117
2024-03-24 13:00:00 UTC,THEFT,false,false,3,2024,41.780268189,-87.614002814
2023-09-24 19:37:00 UTC,ASSAULT,false,true,10,2023,41.845598663,-87.706290551
2021-08-24 15:27:00 UTC,THEFT,false,false,19,2021,41.969139248,-87.65105867
2025-11-18 14:18:00 UTC,CRIMINAL TRESPASS,true,false,1,2025,41.878156422,-87.629995452
2021-09-28 13:29:00 UTC,BATTERY,false,false,6,2021,41.750832464,-87.605224746
2024-04-22 09:10:00 UTC,ROBBERY,false,false,4,2024,41.736922044,-87.551419766
2023-06-11 13:40:00 UTC,ASSAULT,true,true,25,2023,41.931288158,-87.765450553
2022-05-15 12:20:00 UTC,BATTERY,false,true,22,2022,41.71160204,-87.646603177
2020-12-29 12:58:00 UTC,CRIMINAL DAMAGE,false,false,6,2020,41.73755298,-87.621019843
2024-04-17 17:50:00 UTC,THEFT,false,false,1,2024,41.88184935,-87.641606807
2023-03-23 20:10:00 UTC,NARCOTICS,true,false,11,2023,41.873907046,-87.725430093
2021-06-12 02:00:00 UTC,ROBBERY,false,false,14,2021,41.90567115,-87.695979163
2025-02-05 01:27:00 UTC,NARCOTICS,true,false,11,2025,41.876645322,-87.742691439
2020-06-21 18:30:00 UTC,BATTERY,false,true,4,2020,41.68954329,-87.537696716
2024-04-28 09:00:00 UTC,THEFT,false,false,12,2024,41.88994273,-87.687905116
2025-02-05 15:50:00 UTC,THEFT,false,false,4,2025,41.758331814,-87.571244836
2023-08-30 13:29:00 UTC,BATTERY,true,false,14,2023,41.905258171,-87.711753756
2025-11-27 13:03:00 UTC,ASSAULT,false,true,7,2025,41.764452305,-87.637081449
2021-12-23 13:00:00 UTC,THEFT,false,false,19,2021,41.954475247,-87.655402462
2021-09-08 02:45:00 UTC,BATTERY,true,true,6,2021,41.737733086,-87.601210469
2023-08-12 22:19:00 UTC,BURGLARY,false,false,9,2023,41.824589398,-87.687134703
2023-12-07 12:40:00 UTC,BATTERY,false,false,10,2023,41.856547057,-87.695604526
2021-07-16 16:48:00 UTC,NARCOTICS,true,false,22,2021,41.729821121,-87.654377317
2022-10-17 16:20:00 UTC,BATTERY,false,false,6,2022,41.721689256,-87.626539467
2020-01-30 19:46:00 UTC,NARCOTICS,true,false,6,2020,41.750701977,-87.601532203
2021-12-24 02:50:00 UTC,CRIMINAL DAMAGE,false,false,25,2021,41.919366106,-87.769120387
2020-01-30 18:41:00 UTC,BATTERY,false,true,5,2020,41.706241754,-87.624357568
2023-12-25 23:00:00 UTC,ASSAULT,false,false,25,2023,41.938830338,-87.746557909
2020-05-19 12:50:00 UTC,THEFT,false,false,19,2020,41.93743245,-87.649180491
2025-04-18 01:02:00 UTC,OTHER OFFENSE,false,false,17,2025,41.963719573,-87.727904675
2025-08-04 17:00:00 UTC,OTHER OFFENSE,false,true,7,2025,41.783530913,-87.636222431
2021-08-23 07:00:00 UTC,DECEPTIVE PRACTICE,false,false,8,2021,41.745508791,-87.684018374
2021-11-24 15:47:00 UTC,THEFT,false,false,17,2021,41.939300241,-87.711739358
2020-09-08 15:20:00 UTC,DECEPTIVE PRACTICE,false,false,22,2020,41.721536966,-87.637559575
2023-11-05 00:00:00 UTC,BATTERY,false,true,2,2023,41.80171934,-87.630703621
2020-02-10 13:28:00 UTC,CRIMINAL DAMAGE,false,true,4,2020,41.744019197,-87.544250543
2025-09-09 15:00:00 UTC,ASSAULT,false,false,12,2025,41.883283232,-87.667848083
2024-07-18 22:27:00 UTC,PROSTITUTION,true,false,8,2024,41.803515121,-87.743044463
2021-02-09 00:22:00 UTC,THEFT,false,false,16,2021,41.976762981,-87.900983721
2022-07-23 03:00:00 UTC,OTHER OFFENSE,true,true,11,2022,41.867037335,-87.7283882
2021-12-18 15:55:00 UTC,THEFT,false,false,19,2021,41.939923405,-87.668667203
2020-11-13 11:10:00 UTC,BATTERY,false,true,11,2020,41.886628828,-87.716065899
2023-06-27 10:00:00 UTC,DECEPTIVE PRACTICE,false,false,5,2023,41.655003274,-87.613923661
2020-08-28 20:11:00 UTC,NARCOTICS,true,false,25,2020,41.908551235,-87.751012308
2023-06-06 17:01:00 UTC,BATTERY,true,false,4,2023,41.751848142,-87.557468736
2022-05-31 20:12:00 UTC,OTHER OFFENSE,true,false,12,2022,41.876527017,-87.656597758
2025-06-01 03:00:00 UTC,ASSAULT,false,true,7,2025,41.771379267,-87.655497247
2023-08-24 20:45:00 UTC,BATTERY,true,false,11,2023,41.870932257,-87.744921277
2024-08-14 06:30:00 UTC,THEFT,false,false,1,2024,41.884499369,-87.625691681
2023-01-19 11:08:00 UTC,MOTOR VEHICLE THEFT,false,false,12,2023,41.893990113,-87.702155577
2020-01-10 12:50:00 UTC,BATTERY,false,false,3,2020,41.784833656,-87.622212733
2025-04-22 15:00:00 UTC,THEFT,false,false,2,2025,41.80062644,-87.590467932
2022-08-31 13:25:00 UTC,THEFT,true,false,18,2022,41.894465726,-87.624241063
2025-06-30 09:50:00 UTC,THEFT,false,false,6,2025,41.724747626,-87.622285912
2023-04-22 20:15:00 UTC,CRIMINAL DAMAGE,false,false,9,2023,41.796607767,-87.647676793
2024-12-08 17:55:00 UTC,BATTERY,false,false,22,2024,41.685154594,-87.636516591
2025-09-03 12:00:00 UTC,CRIMINAL DAMAGE,false,false,19,2025,41.958924552,-87.669179368
2023-10-24 08:30:00 UTC,MOTOR VEHICLE THEFT,false,false,22,2023,41.735066839,-87.650896405
2022-02-26 13:56:00 UTC,OTHER OFFENSE,false,true,15,2022,41.878364274,-87.763539901
2023-08-09 22:00:00 UTC,THEFT,false,false,19,2023,41.947225886,-87.655545441
2023-03-07 20:45:00 UTC,BATTERY,false,false,5,2023,41.69261082,-87.620388196
2024-12-17 18:52:00 UTC,THEFT,false,false,18,2024,41.895978014,-87.624275756
2023-03-03 21:45:00 UTC,THEFT,false,false,18,2023,41.888766628,-87.63105063
2022-07-25 20:45:00 UTC,ROBBERY,false,false,9,2022,41.816861262,-87.696919189
2023-08-04 09:02:00 UTC,BATTERY,true,true,11,2023,41.869826822,-87.723967106
2021-08-04 20:35:00 UTC,CRIMINAL DAMAGE,false,false,1,2021,41.884485203,-87.62874355
2022-04-13 00:00:00 UTC,CRIMINAL DAMAGE,false,false,11,2022,41.883695778,-87.726986175
2022-01-23 19:50:00 UTC,OTHER OFFENSE,false,false,16,2022,41.96059054,-87.758204687
2020-02-08 06:05:00 UTC,BATTERY,true,false,16,2020,41.976762981,-87.900983721
2022-07-23 12:50:00 UTC,CRIMINAL DAMAGE,false,false,20,2022,41.976399444,-87.669619346
2021-02-01 12:00:00 UTC,MOTOR VEHICLE THEFT,false,false,15,2021,41.871093058,-87.751165162
2025-12-10 01:45:00 UTC,CRIMINAL DAMAGE,false,false,25,2025,41.917097262,-87.731938922
2025-07-27 21:30:00 UTC,MOTOR VEHICLE THEFT,false,false,1,2025,41.857308478,-87.619340066
2021-05-12 12:15:00 UTC,ASSAULT,false,false,18,2021,41.896664035,-87.629175344
2024-11-08 10:00:00 UTC,BATTERY,false,false,5,2024,41.704662765,-87.628209119
2025-01-22 00:30:00 UTC,CRIMINAL DAMAGE,false,false,20,2025,41.989171298,-87.671583349
2024-01-17 01:14:00 UTC,ASSAULT,true,false,8,2024,41.808069268,-87.70803582
2024-12-25 18:00:00 UTC,CRIMINAL DAMAGE,false,false,8,2024,41.7858956,-87.727010234
2021-11-09 09:00:00 UTC,THEFT,false,false,2,2021,41.81410035,-87.59935831
2022-08-21 21:00:00 UTC,BATTERY,false,true,8,2022,41.75075651,-87.704854344
2024-11-14 16:00:00 UTC,STALKING,false,false,11,2024,41.872815608,-87.702173016
2024-04-19 01:00:00 UTC,THEFT,false,false,16,2024,41.954035844,-87.796424031
2025-02-08 10:15:00 UTC,DECEPTIVE PRACTICE,false,false,10,2025,41.855911352,-87.719966
